SMILES,pIC50,ChEMBL ID
CC(C)[C@H](NS(=O)(=O)c1ccc2c(c1)oc1ccc(N3CCN(C)CC3)cc12)C(=O)O,7.744727495,CHEMBL1935282
CC(C)[C@@H]1C(=O)N(O)C(=O)CN1S(=O)(=O)c1ccc(-c2ccccc2)cc1,7.721246399,CHEMBL1939845
O=C(NO)[C@@H]1CS(=O)(=O)CN1S(=O)(=O)c1ccc(Oc2ccc(Cl)cc2)cc1,7.721246399,CHEMBL1957606
CC(=O)OC[C@H]1O[C@@H](NC(=S)NCCN([C@@H](C(=O)O)C(C)C)S(=O)(=O)c2ccc(-c3ccccc3)cc2)[C@H](OC(C)=O)[C@@H](OC(C)=O)[C@@H]1OC(C)=O,7.721246399,CHEMBL4282849
CC(=O)N[C@@H](CCCc1ccccc1)C(=O)N[C@H](CCc1ccccc1)C(=O)N[C@H](Cc1ccccc1)C(=O)NO,7.709965389,CHEMBL4787278
CC(C)CC(C(=O)NC(c1noc(Sc2ccccc2)n1)C(C)(C)C)C(O)C(=O)NO,7.698970004,CHEMBL5193127
CO[C@@H]1O[C@H](CNC(=S)NCCN([C@@H](C(=O)O)C(C)C)S(=O)(=O)c2ccc(-c3ccccc3)cc2)[C@@H](OC(C)=O)[C@H](OC(C)=O)[C@H]1OC(C)=O,7.698970004,CHEMBL4291027
COc1ccc(S(=O)(=O)N2CCc3cc(O)c(OC)cc3C2C(=O)NO)cc1,7.698970004,CHEMBL148214
CC(C)COC(=O)Nc1ccc2c(c1)sc1cc(S(=O)(=O)N[C@H](C(=O)O)C(C)C)ccc12,7.694648631,CHEMBL550907
COc1ccc(CCC[C@H](NC(C)=O)C(=O)N[C@H](CCc2ccccc2)C(=O)N[C@H](Cc2ccccc2)C(=O)NO)cc1,7.688246139,CHEMBL4785870
CC(=O)N[C@@H](COCc1ccccc1)C(=O)N[C@H](CCc1ccccc1)C(=O)N[C@H](Cc1ccc(C)cc1)C(=O)NO,7.679853714,CHEMBL4758924
